timestamp,T_actual,P_actual_gauge,T_predicted,P_predicted,Q_watts,flow_lpm,water_L,eta_instant,health_score,anomaly_flag,prediction_horizon_s,prediction_target_timestamp,L_predicted
2026-04-29T14:51:47.095652,97.33,0.4447,97.33,0.4447,0.0,0.0,0,0.0,100,0,60.0,2026-04-29T14:52:47.095060,4.359
2026-04-29T14:51:47.353550,97.33,0.4447,100.15,0.405,1000.0,0.0,0,83.8,100,0,60.0,2026-04-29T14:52:47.353146,4.22
2026-04-29T14:51:48.070894,97.33,0.4447,100.18,0.4357,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:48.070425,4.22
2026-04-29T14:51:48.458279,97.37,0.4447,100.19,0.4501,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:48.453699,4.22
2026-04-29T14:51:48.693155,97.37,0.4447,100.2,0.4555,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:48.692896,4.22
2026-04-29T14:51:49.132484,97.37,0.4447,100.21,0.4582,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:49.132000,4.22
2026-04-29T14:51:49.307327,97.37,0.4423,100.21,0.4577,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:49.306556,4.22
2026-04-29T14:51:49.818661,97.37,0.4423,100.21,0.4581,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:49.812723,4.22
2026-04-29T14:51:50.468093,97.41,0.4345,100.23,0.4573,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:50.467738,4.22
2026-04-29T14:51:50.636176,97.41,0.4495,100.24,0.4603,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:50.635847,4.22
2026-04-29T14:51:50.870781,97.41,0.4495,100.24,0.4627,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:50.870373,4.22
2026-04-29T14:51:51.274264,97.41,0.4495,100.25,0.4643,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:51.273397,4.22
2026-04-29T14:51:51.417123,97.41,0.4495,100.25,0.465,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:51.416498,4.22
2026-04-29T14:51:51.703210,97.41,0.4495,100.25,0.4654,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:51.702925,4.22
2026-04-29T14:51:52.369786,97.47,0.4491,100.28,0.4656,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:52.369420,4.22
2026-04-29T14:51:52.534865,97.47,0.4491,100.29,0.4655,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:52.534237,4.22
2026-04-29T14:51:53.339727,97.47,0.4491,100.32,0.4656,1000.0,0.0,4.199,83.8,100,0,60.0,2026-04-29T14:52:53.339203,4.22
